Number,FirstName,LastName,Status,Height,InjuryStatus
,Greg,Mabin,Inactive,6'1",
,Marcus,Kemp,Inactive,6'4",
,Arthur,Maulet,Inactive,5'9",
,Ben,Braden,Inactive,6'6",
,Ricky,Seals-Jones,Inactive,6'5",
,Rashaad,Coward,Inactive,6'5",
,Tanner,Gentry,Inactive,6'2",
,Kai,Nacua,Inactive,6'0",
,Channing,Stribling,Inactive,6'1",
,Joe,Jones,Inactive,6'0",
,Cooper,Rush,Inactive,6'3",
,Cameron,Hunt,Inactive,6'4",
,Kyle,Sloter,Inactive,6'5",
,Alex,Barrett,Inactive,6'2",
,Dylan,Cole,Inactive,6'0",
,Justin,Hardee Sr.,Inactive,6'0",
,Keelan,Cole Sr.,Inactive,6'1",
,Jamal,Perry,Inactive,5'10",
,Michael,Davis,Inactive,6'2",
,Austin,Ekeler,Inactive,5'10",
,Colin,Thompson,Inactive,6'4",
,Corey,Clement,Inactive,5'10",
,Jordan,Roos,Inactive,6'3",
,Dan,Skipper,Inactive,6'9",
,Dare,Ogunbowale,Inactive,5'10",
,Dan,Arnold,Inactive,6'6",
,Lance,Lenoir,Inactive,6'0",
,Greg,Van Roten,Inactive,6'4",
,Rashard,Davis,Inactive,5'9",
,River,Cracraft,Inactive,6'0",
,Jon,Toth,Inactive,6'5",
,Josh,Rosen,Inactive,6'4",
,Brandon,Zylstra,Inactive,6'2",
,Nick,Chubb,Inactive,5'11",
,Marcell,Ateman,Inactive,6'4",
,Billy,Price,Inactive,6'4",
,Colby,Wadman,Inactive,6'1",
,Sony,Michel,Inactive,5'11",
,Marcus,Davenport,Inactive,6'6",
,Leighton,Vander Esch,Inactive,6'4",
,Hayden,Hurst,Inactive,6'4",
,Taven,Bryan,Inactive,6'4",
,Isaiah,Wynn,Inactive,6'2",
,Terrell,Edmunds,Inactive,6'1",
,Dante,Pettis,Inactive,6'1",
,James,Daniels,Inactive,6'4",
,Josh,Jackson,Inactive,6'0",
,Shaquille,Leonard,Inactive,6'2",
,Will,Hernandez,Inactive,6'2",
,Ronald,Jones,Inactive,5'11",
,Sam,Hubbard,Inactive,6'5",
,Chad,Thomas,Inactive,6'5",
,Tyquan,Lewis,Inactive,6'3",
,Jerome,Baker,Inactive,6'2",
,Duke,Dawson,Inactive,5'10",
,Geron,Christian,Inactive,6'5",
,Joseph,Noteboom,Inactive,6'5",
,Mason,Cole,Inactive,6'5",
97,Jalyn,Holmes,Active,6'5",
,Nyheim,Hines,Inactive,5'8",
,DaeSean,Hamilton,Inactive,6'1",
,Antonio,Callaway,Inactive,5'11",
,Alex,Cappa,Inactive,6'6",
,Chase,Edmonds,Inactive,5'9",
,Maurice,Hurst II,Inactive,6'2",
,Kenny,Young,Inactive,6'1",
,Anthony,Averett,Inactive,5'11",
,Bilal,Nichols,Inactive,6'3",
,Keke,Coutee,Inactive,5'11",
,Will,Richardson Jr.,Inactive,6'6",
,Armani,Watts,Inactive,5'11",
,Kyzir,White,Inactive,6'2",
,Rick,Leonard,Inactive,6'7",
,R.J.,McIntosh,Inactive,6'4",
,Chris,Herndon,Inactive,6'4",
,Will,Dissly,Inactive,6'4",
,Tre,Flowers,Inactive,6'3",
,Jordan,Whitehead,Inactive,5'10",
,Troy,Apke,Inactive,6'1",
,John,Kelly,Inactive,5'10",
,Jermaine,Carter,Inactive,6'1",
,Andrew,Brown,Inactive,6'3",
,Davontae,Harris,Inactive,5'11",
,Darius,Phillips,Inactive,5'10",
,Mike,White,Inactive,6'5",
,Troy,Fumagalli,Inactive,6'6",
,Jordan,Wilkins,Inactive,6'1",
,Daniel,Carlson,Inactive,6'5",
,Christian,Sam,Inactive,6'2",
,Folorunso,Fatukasi,Inactive,6'4",
,Micah,Kiser,Inactive,6'0",
,Ogbo,Okoronkwo,Inactive,6'2",
,Marcus,Allen,Inactive,6'2",
,Jamarco,Jones,Inactive,6'4",
,Marcell,Harris,Inactive,6'0",
