Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
70,OL,991340590,,
86,TE,991409072,,
86,TE,991381141,,
9,DB,991409073,,
9,DB,991340591,,
9,DB,991315103,,
48,LB,991340592,,
48,LB,991409074,,
64,DL,991315104,,
6,DB,991409075,,
6,DB,991340593,,
6,DB,991315105,,
68,OL,991315106,,
92,DL,991409076,,
92,DL,991315107,,
92,DL,991340594,,
38,RB,991369944,,
38,RB,991321736,,
22,DB,991315108,,
22,DB,991340595,,
22,DB,991409077,,
83,WR,991315109,,
39,DB,991340596,,
39,DB,991315110,,
39,DB,991409078,,
33,DB,991409079,,
33,DB,991340597,,
37,DB,991347732,,
63,OL,991315111,,
13,WR,991315112,,
13,WR,991396335,,
96,DL,991315113,,
99,DL,991315114,,
99,DL,991340598,,
99,DL,991409080,,
44,LB,991315115,,
44,LB,991340599,,
58,OL,991340600,,
58,OL,991315116,,
58,OL,991409081,,
17,QB,991409082,,
17,QB,991315117,,
17,QB,991340601,,
10,WR,991315118,,
29,DB,991315119,,
29,DB,991340602,,
29,DB,991409083,,
23,RB,991315120,,
23,RB,991340603,,
74,OL,991409084,,
74,OL,991315121,,
74,OL,991381142,,
26,DB,991321737,,
32,DB,991315122,,
67,OL,991315123,,
38,DB,991315124,,
86,TE,991315125,,
30,DB,991315126,,
38,DB,991321738,,
18,QB,991409085,,
18,QB,991340604,,
18,QB,991315127,,
72,OL,991340605,,
72,OL,991315128,,
94,DL,991369945,,
94,DL,991315129,,
94,DL,991409086,,
15,WR,991315130,,
15,WR,991340606,,
15,WR,991409087,,
19,P,991340607,,
19,P,991315131,,
19,P,991409088,,
16,QB,991315132,,
35,DB,991321739,,
79,OL,991409089,,
79,OL,991340608,,
79,OL,991315133,,
21,DB,991321740,,
59,DL,991315134,,
33,RB,991315135,,
43,LB,991315136,,
27,LB,991315137,,
82,WR,991315138,,
84,TE,991409090,,
84,TE,991315139,,
84,TE,991340610,,
25,RB,991315140,,
25,RB,991340611,,
25,RB,991409091,,
10,WR,991409092,,
87,WR,991315141,,
10,WR,991340612,,
57,LB,991315142,,
20,DB,991315143,,
95,DL,991315144,,
95,DL,991340613,,
75,OL,991315145,,
75,OL,991340614,,
75,OL,991409093,,
65,OL,991409094,,
65,OL,991340615,,
65,OL,991315146,,
47,LB,991315147,,
47,LB,991340616,,
47,LB,991409095,,
35,DB,991315148,,
26,WR,991315149,,
83,WR,991403232,,
43,LS,991315150,,
27,K,991315151,,
20,WR,991340617,,
20,WR,991315152,,
20,WR,991409096,,
35,RB,991315153,,
93,DL,991315154,,
33,DB,991315155,,
23,DB,991315156,,
48,TE,991315157,,
16,QB,991335834,,
64,OL,991335781,,
64,OL,991305257,,
62,OL,991305258,,
62,OL,991335782,,
91,DL,991305259,,
91,DL,991335783,,
34,RB,991335784,,
34,RB,991305260,,
75,OL,991305261,,
75,OL,991335785,,
70,DL,991305262,,
88,TE,991305263,,
88,TE,991335786,,
92,DL,991305264,,
92,DL,991335787,,
42,LB,991335788,,
42,LB,991305265,,
35,DB,991305266,,
35,DB,991381146,,
87,TE,991335789,,
87,TE,991305267,,
86,TE,991335790,,
86,TE,991305268,,
61,OL,991305269,,
61,OL,991335791,,
43,LB,991366014,,
53,LB,991305270,,
66,OL,991335792,,
89,TE,991335793,,
89,TE,991305271,,
6,QB,991335794,,
6,QB,991305272,,
41,DB,991305273,,
5,WR,991335795,,
5,WR,991305274,,
9,QB,991305275,,
9,QB,991335796,,
22,DB,991305276,,
22,DB,991335797,,
55,LB,991305277,,
72,DL,991305278,,
4,QB,991305279,,
1,WR,991305280,,
1,WR,991335799,,
32,RB,991381147,,
32,RB,991305281,,
24,DB,991335800,,
24,DB,991305282,,
98,DL,991335801,,
98,DL,991305283,,
96,DL,991305284,,
96,DL,991335802,,
58,DL,991305285,,
58,DL,991335803,,
2,K,991305286,,
2,K,991335804,,
56,DL,991305287,,
81,WR,991305288,,
81,WR,991335805,,
36,RB,991305289,,
36,RB,991377526,,
53,LB,991369946,,
23,DB,991305290,,
23,DB,991335806,,
60,OL,991358805,,
60,OL,991305291,,
73,OL,991305292,,
29,DB,991335807,,
29,DB,991305293,,
26,DB,991305294,,
26,DB,991335808,,
51,DL,991305295,,
27,DB,991305296,,
27,DB,991335809,,
67,OL,991305297,,
48,LS,991305298,,
76,OL,991305299,,
19,WR,991305300,,
20,DB,991305301,,
20,DB,991335810,,
80,WR,991335811,,
80,WR,991305302,,
15,WR,991305303,,
15,WR,991335812,,
99,DL,991335813,,
99,DL,991305304,,
51,DL,991360521,,
82,WR,991305305,,
82,WR,991335814,,
30,RB,991335815,,
30,RB,991305306,,
50,LB,991335816,,
50,LB,991305307,,
